Material_Quality,Concrete_Grade,Steel_Grade,Age_of_Building,No_of_Floors,Foundation_Depth,Soil_Type,Seismic_Zone,Load_Bearing_Capacity,Moisture_Exposure,Maintenance_Frequency,Strength,Durability
7,M20,Fe500,35,21,5.8,Loam,III,310,High,1,82.06,31.94
7,M20,Fe500,23,24,13.8,Loam,IV,360,High,1,83.55,33.97
4,M25,Fe500,44,22,14.0,Loam,I,332,Low,1,63.66,37.25
4,M40,Fe500,6,7,3.0,Sandy,II,366,Low,4,53.61,57.67
3,M20,Fe500,11,1,15.9,Rocky,II,510,Medium,2,36.73,20.32
6,M20,Fe415,23,24,8.8,Sandy,III,317,High,2,86.62,53.57
4,M25,Fe500,16,8,7.6,Sandy,II,315,Medium,3,50.56,41.47
7,M25,Fe500,23,2,7.3,Rocky,I,528,Medium,2,73.01,51.1
3,M40,Fe415,5,5,12.0,Sandy,IV,411,Medium,0,61.81,31.8
10,M20,Fe500,13,16,19.1,Loam,III,151,Low,5,113.21,98.38
5,M25,Fe415,8,3,8.2,Rocky,II,555,High,3,58.33,31.59
1,M40,Fe415,16,24,18.2,Clay,III,596,High,3,61.8,37.75
10,M25,Fe415,46,1,13.0,Loam,V,537,Medium,2,102.2,68.1
5,M25,Fe500,12,22,6.4,Clay,I,271,High,5,69.65,34.35
3,M20,Fe415,43,24,7.0,Rocky,IV,411,Medium,0,48.07,31.48
5,M30,Fe415,32,8,9.5,Clay,III,360,High,1,72.14,45.35
8,M25,Fe500,11,24,10.6,Loam,IV,531,Low,4,96.83,81.38
5,M25,Fe415,33,22,18.0,Clay,IV,462,High,2,77.11,29.13
7,M30,Fe415,42,13,12.3,Loam,IV,164,High,4,89.35,58.92
2,M30,Fe415,29,1,13.7,Loam,I,386,Low,5,42.08,51.7
9,M25,Fe500,20,2,12.8,Loam,II,583,High,4,109.78,66.85
4,M25,Fe415,35,21,4.5,Sandy,V,248,High,0,56.32,20.03
8,M20,Fe500,47,17,14.2,Loam,IV,253,Low,2,87.85,58.17
2,M30,Fe415,9,2,20.0,Rocky,III,330,Medium,2,56.11,30.4
5,M20,Fe500,18,21,3.0,Clay,II,529,Low,5,64.12,65.41
3,M40,Fe500,36,5,3.1,Sandy,IV,358,Low,3,56.48,53.56
7,M25,Fe415,40,17,5.3,Loam,I,317,Low,5,76.11,62.47
10,M30,Fe500,15,11,5.5,Loam,V,523,Medium,5,103.2,84.27
3,M25,Fe500,4,11,12.8,Clay,III,223,Medium,2,57.83,43.02
1,M25,Fe500,14,2,13.1,Sandy,II,432,Low,1,21.26,18.77
7,M30,Fe500,11,12,10.7,Sandy,II,192,High,5,93.47,49.57
3,M20,Fe415,59,24,18.3,Rocky,III,311,Low,5,55.26,54.55
7,M30,Fe500,35,18,4.6,Sandy,II,251,Medium,0,90.76,51.82
2,M40,Fe500,2,10,19.6,Rocky,III,400,Low,2,78.65,54.24
2,M40,Fe500,9,14,7.7,Clay,IV,488,High,2,45.93,13.72
6,M40,Fe500,57,16,8.9,Sandy,V,268,Medium,0,99.62,62.59
1,M30,Fe500,51,3,6.7,Sandy,IV,460,High,2,18.16,-3.99
8,M20,Fe500,35,17,15.4,Clay,II,448,High,1,92.15,44.4
8,M30,Fe500,20,23,9.9,Clay,I,522,High,3,106.01,59.82
3,M20,Fe415,23,19,3.9,Rocky,III,502,High,3,37.79,9.98
9,M20,Fe415,54,19,6.6,Rocky,V,472,Low,0,99.12,64.04
9,M25,Fe500,50,15,10.7,Clay,V,335,Low,5,94.0,83.16
8,M20,Fe415,15,18,16.6,Rocky,III,443,High,2,108.2,60.29
10,M20,Fe500,57,15,17.6,Rocky,II,564,Low,5,122.66,95.95
3,M20,Fe500,26,15,8.9,Rocky,III,522,Low,4,54.49,51.09
9,M25,Fe415,41,14,3.8,Sandy,III,322,Low,2,92.59,66.49
8,M25,Fe500,36,6,16.2,Rocky,IV,497,High,3,79.96,37.83
10,M25,Fe500,51,12,5.9,Clay,I,215,Low,1,98.14,75.16
8,M40,Fe500,12,1,9.7,Rocky,V,431,Medium,0,97.04,58.17
3,M25,Fe415,11,5,3.3,Loam,III,362,Medium,4,22.61,12.65
2,M25,Fe415,8,3,7.3,Sandy,II,357,High,0,8.77,-20.76
2,M20,Fe500,12,1,15.0,Loam,V,388,Low,4,33.61,32.45
3,M25,Fe500,12,12,12.8,Sandy,II,522,Medium,0,34.37,13.34
5,M20,Fe415,34,17,16.6,Loam,III,482,High,1,81.02,48.85
6,M30,Fe415,46,14,5.4,Sandy,I,538,Low,1,70.14,42.15
4,M20,Fe415,34,16,15.0,Clay,V,361,Medium,1,65.57,39.61
10,M40,Fe415,16,24,13.3,Sandy,IV,261,Low,3,161.22,123.39
7,M25,Fe415,20,3,12.7,Sandy,II,426,High,2,77.94,45.51
2,M25,Fe500,40,7,9.2,Sandy,III,356,Medium,2,33.54,21.9
2,M20,Fe500,31,19,8.3,Clay,I,397,Medium,0,51.11,25.03
1,M30,Fe415,0,19,15.8,Loam,III,287,High,5,71.2,43.72
4,M25,Fe500,29,20,12.9,Loam,II,582,High,3,68.61,38.88
3,M25,Fe500,54,12,7.5,Rocky,V,499,Medium,1,56.69,26.92
5,M20,Fe415,42,9,12.4,Rocky,II,176,Low,5,65.44,51.9
10,M20,Fe415,57,13,13.9,Loam,IV,377,Low,1,121.34,89.34
6,M30,Fe415,24,5,6.3,Rocky,I,246,Low,5,58.72,49.04
6,M30,Fe415,34,21,5.6,Loam,V,328,Low,2,79.91,50.29
8,M30,Fe415,39,15,9.0,Rocky,II,548,High,3,92.56,54.9
5,M30,Fe415,24,11,9.4,Clay,III,515,High,4,65.76,45.73
9,M25,Fe500,57,9,14.1,Sandy,II,486,Medium,4,100.63,76.71
3,M40,Fe500,48,19,10.0,Loam,II,263,Medium,0,71.99,40.06
10,M20,Fe500,56,16,5.8,Loam,I,324,Medium,3,96.07,64.82
8,M40,Fe500,47,22,12.8,Loam,II,204,High,1,129.98,76.7
1,M30,Fe500,23,3,8.6,Sandy,II,305,High,0,31.19,15.99
1,M30,Fe415,56,8,13.3,Clay,II,513,High,3,38.66,15.91
1,M25,Fe415,25,18,5.3,Sandy,II,562,Low,4,32.79,40.15
4,M30,Fe500,59,17,17.6,Rocky,III,326,High,2,75.43,42.35
2,M25,Fe415,3,17,11.1,Rocky,III,232,Medium,0,50.91,33.52
9,M25,Fe500,24,15,5.7,Clay,IV,422,High,2,108.95,64.46
9,M30,Fe415,50,23,5.2,Clay,V,152,Medium,4,98.86,72.55
2,M30,Fe500,37,5,17.5,Sandy,I,180,Low,5,53.36,45.05
5,M20,Fe415,51,7,6.6,Clay,III,497,Low,5,46.17,45.02
8,M40,Fe415,7,15,11.6,Loam,V,372,Medium,0,105.18,61.88
1,M25,Fe415,28,24,15.8,Rocky,I,339,High,2,56.72,24.06
3,M20,Fe500,43,3,19.6,Sandy,I,459,Low,4,68.24,63.17
7,M20,Fe415,41,6,18.2,Sandy,III,453,High,4,78.21,45.78
7,M40,Fe415,26,5,17.5,Clay,III,196,Medium,2,105.19,71.1
3,M25,Fe415,50,15,16.7,Clay,IV,583,High,0,68.06,31.65
9,M20,Fe415,14,3,15.0,Sandy,I,530,High,0,94.85,47.29
1,M20,Fe500,48,3,13.2,Clay,V,556,Medium,5,16.85,15.79
6,M20,Fe500,10,7,19.8,Loam,V,384,Low,4,93.46,74.68
5,M40,Fe415,27,24,9.5,Rocky,IV,385,High,4,76.28,42.37
8,M30,Fe500,6,12,16.0,Loam,II,418,Low,1,90.63,74.74
10,M30,Fe415,14,3,14.7,Loam,III,465,Low,3,104.3,86.51
6,M20,Fe500,50,23,19.7,Sandy,II,590,High,0,80.57,27.36
10,M20,Fe500,48,6,14.1,Loam,I,547,Medium,1,101.52,61.26
1,M30,Fe415,46,1,7.3,Loam,II,161,High,3,33.88,8.31
10,M25,Fe500,33,2,12.6,Rocky,V,356,Medium,2,75.78,49.38
6,M40,Fe500,28,3,8.2,Clay,III,297,High,5,77.61,52.22
4,M20,Fe500,59,7,13.7,Clay,V,585,High,4,53.78,28.2
6,M40,Fe500,55,4,11.3,Clay,I,240,Medium,0,78.39,33.83
10,M40,Fe415,29,11,16.7,Clay,IV,596,Low,2,128.3,88.07
2,M20,Fe415,58,19,12.4,Clay,III,214,High,4,40.15,14.88
5,M20,Fe500,44,21,13.5,Sandy,III,363,Low,0,69.25,37.73
4,M20,Fe415,55,5,15.8,Rocky,III,244,High,5,57.02,25.27
4,M20,Fe415,27,2,7.4,Sandy,IV,458,Low,0,22.63,26.47
8,M20,Fe500,20,8,8.2,Clay,IV,333,Medium,5,76.27,63.67
1,M25,Fe415,57,7,10.1,Rocky,I,328,Medium,2,26.24,15.68
10,M20,Fe415,19,7,13.1,Rocky,V,409,Medium,3,104.17,67.46
7,M40,Fe500,42,16,18.1,Loam,V,407,High,5,111.28,83.65
8,M25,Fe415,43,12,5.6,Rocky,V,299,Low,5,91.01,68.1
1,M20,Fe500,48,16,17.4,Loam,II,210,High,4,55.01,37.79
7,M30,Fe500,39,21,4.1,Sandy,V,412,Medium,1,101.36,68.94
5,M40,Fe415,34,22,6.6,Clay,V,352,Low,4,84.41,72.85
2,M30,Fe500,32,3,12.0,Rocky,V,584,High,4,42.48,19.59
8,M30,Fe500,34,10,6.6,Clay,I,436,Medium,3,94.14,76.0
4,M20,Fe415,58,18,17.0,Clay,I,371,Medium,4,70.03,60.11
7,M25,Fe415,23,14,3.8,Loam,III,577,High,3,68.46,37.13
7,M40,Fe415,28,11,19.5,Sandy,III,552,Low,2,125.53,90.61
1,M25,Fe500,28,11,11.4,Rocky,V,405,Low,0,34.0,19.74
1,M25,Fe500,26,6,3.4,Clay,IV,556,Low,0,19.99,10.49
5,M30,Fe500,20,5,9.8,Rocky,IV,589,Low,3,76.72,64.42
2,M30,Fe415,43,21,19.9,Rocky,III,234,Medium,2,69.15,43.68
6,M20,Fe500,38,10,17.1,Rocky,I,532,High,5,82.58,59.3
5,M20,Fe500,51,1,19.9,Loam,V,198,Medium,3,63.17,51.38
1,M40,Fe500,22,16,14.5,Clay,III,203,Low,2,65.58,41.42
3,M20,Fe500,3,24,10.5,Clay,II,251,High,1,54.01,14.45
5,M25,Fe415,18,3,3.8,Loam,II,159,Medium,4,36.78,21.77
7,M20,Fe415,59,2,10.3,Loam,V,319,Low,5,74.22,72.24
1,M20,Fe500,41,5,13.6,Loam,I,183,Low,1,28.63,14.55
1,M25,Fe500,43,11,5.8,Loam,II,430,High,2,19.06,4.47
1,M25,Fe415,47,18,16.2,Clay,V,490,High,5,47.1,34.8
2,M20,Fe500,37,10,5.6,Rocky,IV,578,High,4,32.23,13.82
2,M20,Fe415,41,10,19.8,Sandy,II,294,High,3,44.92,21.19
7,M20,Fe415,0,4,7.4,Rocky,V,358,Medium,1,69.46,43.6
5,M30,Fe500,21,5,10.1,Clay,III,458,High,5,70.59,45.88
6,M30,Fe415,26,14,13.8,Rocky,V,426,Medium,2,100.41,75.75
6,M30,Fe415,30,22,8.5,Sandy,V,245,Low,5,78.48,70.34
3,M20,Fe500,5,18,19.2,Clay,I,234,Medium,5,61.42,41.33
9,M25,Fe500,31,8,15.3,Sandy,III,235,High,2,95.1,52.44
4,M40,Fe415,41,1,13.7,Sandy,IV,597,Medium,2,76.2,56.7
9,M20,Fe415,20,1,17.9,Sandy,II,274,High,0,101.21,53.82
1,M25,Fe415,19,23,11.3,Loam,III,308,Medium,0,43.97,20.73
8,M20,Fe415,43,22,17.5,Sandy,III,389,High,4,98.84,58.34
1,M30,Fe500,20,14,5.6,Loam,IV,364,High,1,32.81,-9.2
4,M40,Fe500,20,5,19.6,Sandy,II,438,Low,2,91.42,67.69
10,M30,Fe415,13,5,18.4,Loam,I,151,High,4,119.87,77.4
1,M30,Fe500,30,18,12.9,Clay,III,420,High,4,57.03,29.78
5,M25,Fe500,38,14,10.1,Sandy,II,309,Medium,0,63.95,37.21
4,M30,Fe415,40,8,4.6,Sandy,IV,316,Low,1,57.57,38.61
1,M40,Fe415,1,6,4.2,Loam,II,363,Medium,5,49.06,43.03
8,M30,Fe415,56,4,7.2,Rocky,II,332,Low,1,101.88,72.87
8,M25,Fe415,26,23,7.4,Clay,II,502,High,0,106.14,63.06
7,M25,Fe500,15,20,11.3,Sandy,V,526,Low,2,89.8,70.9
7,M25,Fe415,38,3,9.8,Sandy,V,511,Medium,1,82.27,51.9
2,M30,Fe415,53,14,14.1,Rocky,II,364,Low,1,50.83,42.58
6,M20,Fe500,50,9,17.0,Loam,I,403,Medium,5,79.48,65.51
7,M20,Fe415,49,13,7.5,Sandy,III,579,Low,1,70.2,62.86
1,M30,Fe415,1,15,18.9,Clay,IV,279,Medium,4,62.98,38.54
7,M20,Fe500,3,13,11.2,Clay,II,230,High,4,89.91,54.05
2,M30,Fe500,15,7,17.5,Clay,I,431,High,2,52.15,18.55
10,M20,Fe415,51,6,12.5,Rocky,IV,448,Medium,3,102.04,79.3
9,M30,Fe415,24,10,12.1,Clay,I,375,Medium,5,101.28,78.56
9,M30,Fe415,42,14,10.1,Rocky,I,359,High,3,102.77,64.94
4,M40,Fe500,34,5,16.6,Loam,V,202,High,4,73.57,39.36
7,M40,Fe500,27,8,10.9,Clay,IV,418,High,1,109.24,55.77
8,M20,Fe415,41,22,10.1,Sandy,III,285,High,4,109.79,75.38
6,M30,Fe500,57,10,5.2,Clay,V,509,Low,2,70.39,60.4
1,M20,Fe415,7,10,3.5,Rocky,IV,322,Medium,4,11.6,11.45
6,M40,Fe415,32,14,3.9,Loam,IV,354,High,1,80.29,47.22
3,M20,Fe500,54,2,16.1,Loam,IV,483,Low,3,53.15,38.23
5,M40,Fe415,13,15,8.3,Sandy,II,595,Medium,4,83.75,62.21
6,M25,Fe500,51,10,17.9,Loam,V,491,Medium,1,80.94,48.75
4,M20,Fe500,42,13,3.9,Loam,II,518,Medium,5,35.19,32.73
8,M40,Fe500,42,22,9.3,Loam,V,577,High,1,124.27,65.66
4,M25,Fe415,21,8,12.8,Clay,IV,262,High,4,55.88,42.91
2,M30,Fe415,10,10,16.3,Sandy,IV,273,High,4,50.5,29.76
10,M20,Fe500,4,19,5.0,Rocky,III,503,Medium,2,105.15,85.82
2,M40,Fe500,52,3,8.0,Loam,II,309,High,1,54.43,9.33
2,M20,Fe500,32,10,16.4,Sandy,II,326,Low,2,64.13,51.59
9,M20,Fe500,28,18,10.1,Rocky,V,326,Low,0,93.11,66.57
9,M40,Fe415,34,12,3.9,Clay,IV,362,High,2,115.43,75.09
7,M20,Fe500,55,20,8.9,Sandy,V,223,High,5,78.66,40.68
3,M40,Fe415,15,19,12.8,Loam,IV,202,High,0,75.73,35.36
2,M40,Fe415,47,10,7.7,Clay,I,564,Medium,4,68.44,49.95
2,M20,Fe415,59,24,3.1,Sandy,II,387,Low,1,45.64,39.9
7,M40,Fe500,50,6,10.7,Rocky,III,208,Medium,4,104.94,82.03
6,M20,Fe500,8,12,14.6,Sandy,II,208,Low,2,81.89,65.09
2,M30,Fe500,10,12,3.7,Clay,IV,351,High,4,45.34,26.28
4,M30,Fe415,36,21,8.9,Sandy,V,164,Medium,4,68.68,43.3
10,M30,Fe415,53,11,19.2,Loam,IV,341,High,2,137.26,87.87
6,M25,Fe500,54,10,12.8,Loam,II,309,Medium,4,82.53,56.61
6,M25,Fe415,22,9,17.3,Sandy,V,455,Medium,5,78.23,46.82
8,M40,Fe500,54,3,7.2,Clay,II,307,Low,4,117.17,106.91
5,M30,Fe415,7,18,8.1,Sandy,I,390,Low,0,69.98,37.07
6,M25,Fe500,39,1,11.0,Clay,II,596,Medium,1,62.82,43.71
2,M25,Fe415,47,11,7.4,Clay,IV,547,High,0,35.83,8.66
7,M30,Fe415,32,7,13.9,Sandy,II,486,Low,0,87.13,67.17
3,M20,Fe415,18,18,7.1,Sandy,I,531,High,4,47.6,28.9
8,M40,Fe500,41,4,5.4,Clay,III,523,High,2,91.43,49.44
6,M40,Fe500,23,9,10.7,Rocky,III,535,High,0,79.99,45.38
5,M25,Fe415,45,11,13.5,Rocky,V,350,High,2,76.24,32.62
8,M40,Fe500,43,8,3.6,Sandy,IV,425,Medium,0,96.88,50.76
7,M40,Fe415,4,10,13.3,Clay,III,388,Medium,2,106.21,73.77
6,M40,Fe415,10,6,10.5,Loam,IV,545,Medium,0,90.03,49.68
1,M40,Fe500,55,9,18.2,Sandy,V,546,High,1,59.31,28.4
4,M40,Fe415,8,13,7.5,Loam,V,189,Medium,2,77.26,47.93
7,M20,Fe500,7,22,3.8,Clay,I,331,High,1,63.87,39.0
3,M30,Fe415,27,11,3.2,Sandy,I,469,Low,1,48.85,43.33
7,M20,Fe415,47,16,16.2,Clay,I,459,Medium,2,88.69,50.45
6,M25,Fe415,43,3,3.2,Sandy,I,377,Low,4,62.38,57.99
6,M25,Fe415,33,20,9.4,Rocky,I,277,Low,5,88.01,78.38
10,M40,Fe500,41,3,11.7,Loam,III,170,Medium,2,113.23,76.65
9,M25,Fe415,15,1,10.0,Rocky,V,301,High,4,78.63,37.77
5,M20,Fe500,49,1,4.2,Rocky,I,507,Medium,1,39.27,26.11
4,M40,Fe500,7,13,15.8,Loam,IV,463,High,3,88.88,45.32
9,M40,Fe415,38,3,5.7,Loam,II,466,High,4,91.5,57.41
9,M40,Fe500,25,5,8.4,Loam,I,530,Low,1,111.7,83.25
6,M30,Fe500,54,23,11.1,Sandy,I,484,Low,3,105.95,68.74
4,M40,Fe500,19,13,19.7,Clay,I,385,Medium,4,90.92,62.56
4,M25,Fe415,46,16,14.3,Rocky,IV,248,Medium,2,63.17,42.49
7,M25,Fe415,7,6,11.6,Clay,I,455,High,4,69.75,34.52
6,M30,Fe415,22,11,15.0,Clay,V,503,Medium,1,87.86,47.31
8,M20,Fe415,54,1,5.5,Rocky,III,447,Medium,2,87.19,54.19
7,M40,Fe415,12,21,12.7,Rocky,IV,209,Medium,5,120.42,98.6
7,M20,Fe415,6,7,3.4,Loam,V,246,Medium,5,67.69,52.23
9,M30,Fe415,26,23,3.4,Loam,I,496,Medium,2,111.68,77.32
8,M20,Fe415,40,1,16.4,Clay,II,384,Medium,2,100.1,68.03
1,M40,Fe500,6,17,7.2,Rocky,IV,482,Low,1,53.05,49.37
7,M30,Fe415,42,13,11.3,Clay,V,297,Low,3,87.19,67.99
10,M25,Fe500,33,21,4.1,Clay,IV,414,Low,4,92.06,76.93
4,M30,Fe500,2,11,17.0,Sandy,IV,314,High,5,76.64,44.12
1,M20,Fe500,44,22,8.9,Loam,I,317,Low,5,37.5,37.46
3,M20,Fe500,51,10,16.7,Sandy,IV,255,Low,1,59.5,47.19
1,M25,Fe415,57,22,10.0,Rocky,IV,214,Low,4,33.07,31.61
2,M40,Fe500,51,16,11.2,Clay,IV,205,Low,2,56.64,50.28
10,M25,Fe415,49,4,13.6,Clay,V,236,Low,4,98.87,71.8
2,M20,Fe415,58,12,6.0,Clay,IV,501,High,4,36.34,15.68
9,M20,Fe500,57,17,18.2,Clay,III,561,High,0,100.74,52.15
7,M20,Fe415,54,15,12.3,Clay,III,342,Medium,5,91.51,63.68
5,M30,Fe415,25,15,19.2,Loam,III,519,High,2,95.65,51.23
7,M40,Fe500,46,23,3.7,Rocky,IV,295,Low,0,97.77,64.89
1,M30,Fe415,7,18,7.2,Rocky,V,215,Medium,4,50.81,24.77
9,M30,Fe500,2,6,5.4,Clay,II,455,Low,5,96.17,81.94
8,M30,Fe415,28,13,6.7,Rocky,V,257,High,3,96.66,62.05
7,M20,Fe415,41,17,15.5,Rocky,I,150,Medium,4,81.16,60.31
6,M25,Fe500,29,20,11.5,Clay,IV,440,High,2,85.87,45.86
10,M20,Fe415,36,21,18.3,Sandy,II,596,Medium,2,108.39,80.99
10,M25,Fe415,13,14,4.9,Rocky,IV,468,High,1,107.92,63.58
9,M40,Fe415,52,15,4.7,Loam,IV,325,Medium,5,114.88,89.7
4,M40,Fe415,59,24,17.3,Loam,II,559,Medium,5,107.55,82.9
10,M30,Fe500,24,9,10.4,Rocky,III,296,Medium,0,113.34,72.75
5,M40,Fe500,9,12,7.0,Rocky,III,340,Low,3,75.91,61.89
2,M40,Fe415,20,24,6.1,Clay,I,334,High,0,62.3,27.03
5,M30,Fe415,59,14,18.3,Loam,III,449,Medium,0,93.39,64.8
5,M30,Fe500,3,3,13.6,Loam,IV,396,Low,3,85.3,70.56
8,M40,Fe415,47,12,5.0,Sandy,III,327,Low,5,104.41,86.1
6,M40,Fe415,2,3,8.7,Sandy,III,445,High,0,81.0,42.06
5,M25,Fe415,13,12,4.0,Rocky,IV,407,Medium,4,57.43,33.71
5,M40,Fe500,47,13,15.9,Rocky,V,552,High,1,99.15,50.76
6,M40,Fe500,23,8,16.1,Rocky,III,589,Low,1,96.92,87.17
7,M40,Fe500,39,4,12.7,Rocky,IV,234,Low,3,94.71,66.02
8,M40,Fe415,56,10,6.2,Sandy,I,177,Low,2,107.01,74.48
9,M20,Fe415,5,21,4.7,Clay,IV,348,Low,5,103.29,86.86
9,M20,Fe415,17,24,8.8,Loam,III,381,High,2,107.92,54.91
8,M40,Fe500,37,12,9.1,Clay,I,460,Medium,0,122.39,66.26
3,M25,Fe500,43,10,9.7,Rocky,IV,569,Low,5,43.31,49.25
8,M20,Fe500,20,13,17.5,Clay,III,216,Medium,0,104.52,71.15
5,M20,Fe415,0,1,7.0,Loam,IV,480,Medium,2,50.54,27.1
1,M40,Fe415,7,15,19.3,Sandy,II,339,High,0,73.29,29.04
2,M25,Fe415,24,16,7.3,Loam,I,336,Low,3,24.6,25.8
7,M25,Fe415,34,5,7.4,Sandy,II,564,Low,3,77.37,61.52
1,M30,Fe415,8,16,6.0,Rocky,II,421,High,4,45.34,11.0
2,M25,Fe415,45,1,13.6,Sandy,I,259,Medium,5,34.42,25.16
5,M40,Fe500,30,23,9.4,Clay,V,599,Low,3,92.83,78.39
8,M40,Fe500,54,5,9.8,Clay,II,365,Low,3,114.06,86.48
9,M25,Fe500,27,24,5.8,Clay,III,387,Low,1,99.22,74.14
7,M30,Fe500,13,19,10.1,Rocky,II,522,High,5,91.87,60.37
4,M30,Fe415,11,13,7.4,Sandy,II,214,Low,2,60.93,58.12
8,M25,Fe415,49,24,18.1,Clay,I,398,High,4,124.82,79.43
6,M20,Fe500,46,18,17.3,Loam,IV,544,High,0,93.25,56.2
4,M25,Fe415,24,3,8.8,Sandy,I,292,High,4,34.02,28.26
4,M40,Fe415,58,18,7.7,Clay,V,502,Medium,1,75.45,50.92
6,M40,Fe500,17,13,7.8,Sandy,II,528,Medium,2,90.79,65.54
4,M40,Fe500,3,13,16.5,Rocky,I,505,Low,2,88.36,63.97
2,M25,Fe415,29,15,19.2,Rocky,II,343,Low,3,61.25,50.05
3,M25,Fe500,26,6,12.2,Sandy,V,528,High,3,40.42,11.32
8,M20,Fe500,36,11,5.1,Clay,IV,169,Medium,0,73.57,48.27
3,M30,Fe500,10,20,12.7,Rocky,V,216,Low,2,70.87,66.19
1,M30,Fe415,49,24,5.2,Loam,V,552,Medium,0,57.2,29.34
9,M20,Fe415,50,2,7.7,Loam,V,551,Low,5,81.49,72.09
4,M20,Fe415,49,15,6.4,Clay,I,158,Low,5,51.13,53.64
7,M30,Fe500,12,9,5.6,Rocky,V,463,High,0,66.25,17.98
1,M40,Fe500,40,14,17.2,Loam,III,473,High,5,54.08,32.74
4,M40,Fe415,22,3,19.8,Clay,V,321,Medium,2,81.51,33.59
9,M20,Fe415,6,18,5.6,Sandy,IV,567,Low,1,95.57,73.89
8,M40,Fe500,18,22,13.8,Sandy,II,254,High,3,123.96,78.78
8,M20,Fe415,39,21,12.6,Sandy,III,241,High,1,98.15,49.33
5,M40,Fe500,43,14,13.2,Clay,I,163,Low,1,82.97,55.23
1,M20,Fe500,20,4,18.1,Loam,III,373,High,3,36.96,23.3
5,M40,Fe415,15,1,16.3,Loam,V,555,High,1,84.21,40.06
7,M20,Fe415,0,19,9.2,Loam,V,392,Medium,1,64.69,50.71
9,M40,Fe500,55,9,10.6,Loam,IV,354,Low,5,119.88,105.54
5,M25,Fe500,25,6,10.6,Clay,II,523,Low,3,57.04,53.93
7,M30,Fe500,23,8,9.7,Rocky,V,156,Low,0,97.06,76.72
7,M25,Fe415,42,24,6.1,Rocky,III,295,High,1,90.84,44.33
5,M30,Fe500,24,14,3.0,Sandy,I,202,Medium,3,71.07,45.04
5,M30,Fe415,34,24,14.1,Loam,III,482,High,2,91.23,48.0
7,M25,Fe415,38,11,5.6,Sandy,IV,579,Medium,0,72.57,42.26
10,M20,Fe415,10,12,14.3,Loam,IV,316,Medium,4,122.77,80.58
6,M40,Fe500,57,11,9.3,Clay,I,533,High,2,102.06,60.52
10,M40,Fe415,50,23,5.6,Sandy,II,591,High,0,126.93,61.07
9,M25,Fe415,14,7,9.0,Clay,V,189,Medium,4,70.8,46.09
4,M25,Fe500,46,5,17.7,Clay,I,481,Medium,5,56.65,32.98
3,M25,Fe415,45,7,16.4,Rocky,III,282,High,5,47.0,25.19
4,M25,Fe500,41,9,17.5,Loam,V,410,Low,3,69.93,55.95
1,M40,Fe500,32,1,8.7,Sandy,IV,370,High,5,40.09,21.55
